image_id,umap_x,umap_y,cluster,dataset
5291,9.802837,2.304645,-1,SalamanderID2025
5293,11.297407,1.8234808,-1,SalamanderID2025
5297,10.435605,2.9652927,-1,SalamanderID2025
5298,8.406367,3.3954504,-1,SalamanderID2025
5300,10.110561,1.5015192,-1,SalamanderID2025
5301,10.881495,1.8530265,-1,SalamanderID2025
5302,8.91377,1.4198725,-1,SalamanderID2025
5306,0.63378435,-5.542802,-1,SalamanderID2025
5309,-3.6073968,-11.1514845,-1,SalamanderID2025
5313,0.5323872,-5.6122923,-1,SalamanderID2025
5314,8.564259,3.2355175,-1,SalamanderID2025
5315,0.52664024,-5.624492,-1,SalamanderID2025
5319,8.502897,2.3605416,-1,SalamanderID2025
5320,-2.6870027,-11.552761,-1,SalamanderID2025
5321,-3.555307,-11.1462145,-1,SalamanderID2025
5322,8.619202,3.9397583,-1,SalamanderID2025
5324,8.593378,2.9900634,-1,SalamanderID2025
5330,-2.5400093,-12.097728,-1,SalamanderID2025
5332,8.278993,3.8410766,-1,SalamanderID2025
5333,8.707792,2.49972,-1,SalamanderID2025
5334,8.748995,2.2535386,-1,SalamanderID2025
5335,9.6775465,1.4443297,-1,SalamanderID2025
5337,8.775683,2.7487059,-1,SalamanderID2025
5340,8.334742,2.7075038,-1,SalamanderID2025
5342,-2.987328,-13.038697,-1,SalamanderID2025
5345,-2.7846966,-12.8874445,-1,SalamanderID2025
5346,8.373863,2.8042934,-1,SalamanderID2025
5347,-3.350128,-10.788367,-1,SalamanderID2025
5351,9.807113,2.8302348,-1,SalamanderID2025
5352,9.827328,1.7894433,-1,SalamanderID2025
5354,8.733428,2.40143,-1,SalamanderID2025
5356,-3.157768,-10.583112,-1,SalamanderID2025
5357,-3.0244265,-12.46008,-1,SalamanderID2025
5359,-3.61851,-10.822579,-1,SalamanderID2025
5360,-3.4388087,-10.696156,-1,SalamanderID2025
5361,8.428756,3.2952423,-1,SalamanderID2025
5363,10.557332,1.5492328,-1,SalamanderID2025
5364,0.53531814,-5.6231484,-1,SalamanderID2025
5366,9.514001,1.5320221,-1,SalamanderID2025
5367,8.32235,3.8305907,-1,SalamanderID2025
5368,-3.8510156,-10.415426,-1,SalamanderID2025
5369,8.246388,3.6492872,-1,SalamanderID2025
5370,8.496193,3.8066947,-1,SalamanderID2025
5372,-3.4487896,-12.869854,-1,SalamanderID2025
5373,8.706527,3.1449385,-1,SalamanderID2025
5374,8.368712,2.8500285,-1,SalamanderID2025
5375,-2.6353233,-10.940695,-1,SalamanderID2025
5377,-2.9986703,-11.11007,-1,SalamanderID2025
5379,8.309448,3.7076943,-1,SalamanderID2025
5380,-3.2318892,-10.069819,-1,SalamanderID2025
5381,8.918799,3.8242993,-1,SalamanderID2025
5383,8.848159,3.9375288,-1,SalamanderID2025
5384,10.286668,2.2646925,-1,SalamanderID2025
5392,9.911167,1.886049,-1,SalamanderID2025
5395,-3.4566934,-12.702123,-1,SalamanderID2025
5398,-3.51182,-10.412505,-1,SalamanderID2025
5399,-3.7596855,-11.901564,-1,SalamanderID2025
5400,8.511508,2.9702015,-1,SalamanderID2025
5401,10.12844,1.6563442,-1,SalamanderID2025
5405,10.074591,3.3167286,-1,SalamanderID2025
5407,-0.53116465,-6.246721,-1,SalamanderID2025
5408,9.297698,2.4204319,-1,SalamanderID2025
5409,8.854224,3.7836874,-1,SalamanderID2025
5411,8.3264265,3.916084,-1,SalamanderID2025
5416,11.383784,1.9178556,-1,SalamanderID2025
5422,8.853162,3.8974288,-1,SalamanderID2025
5423,9.818696,2.2968836,-1,SalamanderID2025
5424,10.110536,2.7502382,-1,SalamanderID2025
5426,9.75603,2.9577315,-1,SalamanderID2025
5427,10.102116,2.6083474,-1,SalamanderID2025
5428,-2.5841146,-12.178388,-1,SalamanderID2025
5431,9.974141,2.5844214,-1,SalamanderID2025
5435,8.672099,2.3990972,-1,SalamanderID2025
5436,10.609875,2.3103194,-1,SalamanderID2025
5439,10.241581,2.3881845,-1,SalamanderID2025
5444,-0.48212126,-6.193877,-1,SalamanderID2025
5446,9.5197115,2.5674162,-1,SalamanderID2025
5449,9.233805,2.6733353,-1,SalamanderID2025
5454,9.768841,1.1684599,-1,SalamanderID2025
5455,-3.028193,-11.409161,-1,SalamanderID2025
5456,9.341045,1.3317003,-1,SalamanderID2025
5458,-2.8665206,-12.060196,-1,SalamanderID2025
5465,9.645537,1.4140034,-1,SalamanderID2025
